subject_id	time
536	2004
2107	2000
2935	2001
3206	2005
3495	2009
4361	2007
4444	2011
5016	2001
5017	2003
5495	2000
5961	2008
6591	2010
7356	2004
7365	2005
7783	2010
7933	2006
7937	2005
7962	2008
7963	2009
8019	2010
8105	2010
8631	2010
8752	2010
8992	2010
9517	1997
9590	2010
9841	2007
9856	2006
10465	1987
10995	2007
11936	2003
11937	2002
12338	2000
12339	2002
12746	2008
13871	1973
14364	2000
14664	2011
16340	2004
17652	2001
18022	2009
18042	2009
18051	2007
18458	2006
18497	1994
18507	2004
18908	2006
20026	2005
20864	1996
20866	1995
22025	2011
22394	1997
22909	2011
22910	2011
23080	2011
25419	1998
25451	2010
25452	2011
25453	2011
25467	2010
25469	1998
25577	2007
26404	2010
27336	2011
28031	2011
28164	2011
29213	2011
29608	2012
29868	2000
29869	2002
30238	2011
30493	2008
31836	2000
32580	2004
33504	2009
33506	2010
33508	2011
34128	1989
34500	2003
34502	1999
35793	2011
35937	2010
36227	2008
36229	2012
36230	2010
36231	2011
36232	2011
36233	2004
36686	1997
36954	2007
36964	2011
37545	2011
37660	2012
37661	2011
37909	2001
37939	2008
37994	2000
38071	2003
38082	2011
38137	2010
38274	2011
38293	2011
38432	2001
38494	1987
38495	2002
38523	2011
38699	2005
38899	2011
38933	2002
39060	2011
39541	2009
39929	2003
40841	2002
41553	2002
42748	2010
42815	2012
43263	2012
43296	2012
43301	2012
43367	2012
43368	2012
43378	2001
43941	2012
44027	2012
44451	2011
44466	2002
44467	2003
44469	1985
44470	2005
44472	2002
44473	1995
44474	2004
44475	1997
44476	2003
45317	2003
45318	2009
45919	2010
45921	2011
46097	2011
46533	2000
47140	2012
47247	2009
47537	2012
47573	2010
47860	2006
47888	2012
48032	2013
48044	2009
48118	2012
48119	2012
48358	2012
48736	2010
49247	2012
49305	2009
49532	2009
49816	2009
49817	2010
49854	2011
50160	2010
50222	1986
50598	2002
50599	2003
52784	1999
52786	2001
52789	1988
52790	2012
53418	2004
53581	2005
53587	2011
53669	2008
53676	1990
53803	2006
53937	1991
54539	1996
54604	2012
55024	1993
55101	2012
55300	2012
56055	2008
56119	2013
56261	2012
56391	2004
56426	1998
56648	2012
56680	2008
56686	2008
56756	2012
56865	2013
56929	2012
56930	2012
56931	2012
56932	2012
56933	2012
56934	2012
57200	2012
57201	2012
57202	2012
57266	2012
57267	2012
57268	2012
57284	2012
57285	2012
57286	2012
57919	2003
58155	2005
58161	2005
58163	2005
58167	2009
58250	2009
58252	2012
58387	2011
59250	2011
60329	2012
60375	2002
60575	2001
60589	1999
60638	2006
61217	2011
61408	2005
61409	2007
61410	2008
61411	2006
61412	2004
61413	2005
61414	2005
61415	2005
61416	2005
61417	2005
61418	2006
61419	2007
61420	2008
61421	2009
61422	2005
61424	2004
61426	2009
61444	2009
61501	2003
61504	2002
62241	2010
62242	2006
62244	2002
62246	1998
62247	2010
62248	1996
62249	1996
62250	2004
62251	2008
62252	2007
62253	2008
62254	2004
62255	2004
62256	2009
62257	2002
62258	1998
62260	2000
62264	2001
62273	2011
62277	2011
62279	2011
62280	2001
62283	2004
62284	1998
62423	2009
62424	2007
62426	 201
62428	2007
62429	2008
62461	2007
62462	2008
62463	2009
62464	2010
62465	2010
62466	2012
62467	2011
62468	2010
62472	2007
62473	2011
62474	2008
62475	2009
62477	2005
62478	2009
62479	2009
62480	2010
62481	2010
62482	2010
62484	2005
62485	2007
62486	2009
62487	2003
62488	2009
62495	2001
62496	1994
62498	2003
62499	2005
62500	2003
62502	2002
62503	2009
62506	2004
62507	2005
62535	2011
63016	2005
63017	2002
63018	2005
63019	2004
63020	2008
63024	1999
63025	2001
63026	2006
63029	2004
63030	2011
63031	2008
63032	2010
63033	2003
63035	2010
63037	2006
63038	2007
63039	2011
63051	1993
63052	2012
63343	2008
63376	2011
63378	2009
63379	2011
63380	2005
63893	2004
63895	2013
64288	2013
64291	2013
64377	2000
64490	2004
64491	2010
64492	2011
64493	2002
64494	2006
64496	2001
64497	2004
64498	2007
64510	2006
64549	2011
64961	2009
65517	2002
65518	2004
65844	2011
65986	2006
66151	2013
66220	2004
66375	2013
66565	2013
66597	2012
66598	2012
66600	2011
66601	2012
66602	2013
66603	2013
66604	2013
66605	2013
66606	2013
66676	2003
66697	1994
67420	2004
67423	2007
67424	2007
67425	2009
67738	1969
67739	1970
67769	1991
67958	1985
67960	1990
67983	2001
67985	2001
68057	2002
68293	2007
68294	2010
68295	2004
68452	2009
68602	2013
68674	2011
69179	2011
69181	2008
69182	2011
69187	2003
69188	2010
69189	2007
69190	2011
69191	2011
69192	2011
69193	2003
69194	2003
69196	2011
69315	2013
69316	2013
69318	2013
69388	2005
69425	1997
69426	1998
69427	1998
69428	2001
69429	2003
69430	2003
69434	1999
69435	2000
69436	2002
69437	2004
69439	2001
70226	2003
70232	2007
70246	2009
70247	2007
70248	2007
70250	2007
70252	2005
70255	2005
70256	2005
70257	2006
70259	2006
70260	2006
70262	2003
70263	2008
70264	2005
70266	2002
70267	2006
70268	2003
70269	2005
70278	2004
70279	2003
70280	2003
70281	2003
70282	2002
70283	2008
70284	2011
70285	2009
70286	2008
70287	2008
70290	2009
70291	2002
70292	2010
70293	2008
70294	2010
70295	2007
70296	2009
70297	2009
70298	2007
70299	2009
70300	2006
70301	2007
70302	2006
70303	2007
70304	2006
70305	2010
70306	2010
70307	2008
70359	2004
70391	2005
70392	2005
70417	2005
70423	2004
70424	2011
70425	2008
70426	2008
70427	2011
70428	2006
70429	2010
70430	2009
70431	2009
70432	2008
70463	2010
70585	1998
70607	2008
72104	2006
72183	2003
72196	
72286	2007
72304	2000
72305	2005
72334	2003
72335	2004
72336	2008
72338	2007
72339	2002
72341	1986
72353	2010
72706	2013
72710	2013
73084	2013
73206	1990
73238	2010
73373	2002
73377	2004
73380	2001
74285	2001
74286	2007
74287	2003
74289	2002
74290	2003
74291	2004
74292	2002
74293	2001
74393	2009
74394	2010
74395	2005
74396	2005
74397	2005
74398	2005
74399	2002
74403	2001
74404	2007
74405	2010
74406	2000
74407	2001
74408	2006
74412	2009
74415	2004
74416	2002
74417	1997
74419	2003
74420	2001
74421	2004
74422	2003
74423	2006
74424	2005
74426	2008
74427	2002
74428	2000
74429	2007
74431	2005
74432	2010
74433	2010
74434	2003
74435	2011
74437	2009
74438	2004
74439	2007
74440	2008
74441	2002
74442	2001
74443	2006
74444	2010
74445	2007
74446	2009
74447	2003
74448	2007
74449	2006
74450	2001
74451	2002
74452	2005
74453	2007
74455	2001
74457	2001
74458	2008
74459	2000
74460	2007
74461	2001
74462	2007
74463	2007
74466	2012
74467	2006
74468	2008
74470	2009
74474	2011
74476	2003
74478	2013
74479	2000
74480	2000
74481	2001
74482	2003
74484	1996
74488	2001
74490	2004
74491	2010
74492	2011
74493	2010
74529	2004
74530	2006
74773	2013
74910	1987
75177	2010
75215	2011
75216	2011
75217	2008
75531	2013
75689	1998
75847	2003
75853	2013
75867	1996
75869	2004
75902	2000
76017	2005
76043	2013
76044	2013
76045	2013
76210	2013
76444	2013
76803	2004
76917	2011
77050	2003
77052	2010
77374	2010
77610	2003
77627	2000
77642	2002
77858	2004
77878	2013
78045	2013
78076	1997
78078	1986
78176	2013
78478	2013
78752	2004
78804	2006
78805	2007
78823	2007
78968	2001
79197	2013
79199	2013
79200	2013
79201	2013
79204	2013
79205	2013
79207	2013
79746	2013
79922	1990
79924	1988
79938	1999
80825	2006
81506	2008
81573	1989
81689	2002
81710	2003
81714	2003
81717	2003
81719	2003
81721	2003
81728	2004
81729	2004
81737	2004
81740	2005
81811	2001
81821	2003
81850	2006
81851	2003
81853	2000
81854	2010
81855	2001
81857	2008
81858	2000
81859	2002
81860	2003
81861	2005
81862	2005
81864	2000
81865	1999
82120	2001
82122	1998
82123	2003
82126	2004
82130	1999
82150	2013
82151	2013
82200	2013
82204	2013
82205	2013
82207	2013
82208	2013
83084	2004
83727	1994
83841	2005
83945	2004
84084	2013
84549	2001
84585	1992
84905	2014
85031	2013
85032	2013
85502	2013
85503	2013
85506	2013
85520	2013
86513	2009
88060	2001
90047	2003
90051	2007
90052	1994
90139	2002
90581	2002
90782	2014
90783	2014
90784	2013
90785	2013
90787	2013
90790	2014
90794	2014
90797	2014
90798	2014
90801	2014
91609	2013
91611	2013
92294	2013
92411	2014
92413	2003
92432	2006
92435	2013
92906	1994
92908	2003
92911	2000
92913	2003
92914	2004
92915	2003
93323	2004
95609	2014
95636	2014
95637	2014
95642	2014
95643	2010
95646	2014
96893	2014
97550	2014
99457	2002
99459	2003
100021	2014
100022	2014
100023	2014
100024	2014
100025	2014
100568	2014
100799	2014
101999	1984
102000	1984
102001	1984
102797	2014
103152	2014
103247	2014
103449	2003
103450	2000
103472	2001
103731	2010
103741	1990
103742	1995
103743	1997
103824	2014
103971	2014
104010	2011
104249	2014
104337	2014
104338	2014
104343	2014
104346	2014
104348	2014
104349	2014
104350	2014
104352	2014
104354	2014
104359	2014
105770	1995
106059	2000
106063	2001
106294	2011
106408	1995
106734	2006
108378	2014
108554	2014
109446	2014
109677	2014
110462	2014
112246	2004
112269	2014
112942	2014
112943	2014
112944	2014
112965	2014
113361	1994
114070	1996
114091	2007
114825	2007
115238	2014
116349	2014
116891	2014
116892	2014
117545	2004
117906	2014
118475	2014
118476	2014
118950	2014
118951	2014
119155	2014
119581	2014
120763	2015
120902	2014
120903	2014
120914	2015
121038	2015
121039	2015
121042	2015
121043	2015
121046	2015
121328	2014
121724	2002
121881	2015
121882	2014
121883	2015
124752	2010
125448	2015
125449	2015
126165	2015
126172	2015
126174	2015
126176	2015
126180	2015
126183	2015
126184	2015
126186	2015
126187	2015
126189	2015
126190	2015
126192	2015
126324	2015
126616	2005
126617	2007
128257	2014
130294	2015
131058	2002
132454	2015
132559	2015
132691	2015
135201	2015
135479	2015
135802	2014
136008	2015
136034	2015
137753	2006
139038	2015
139043	2015
139378	2015
139719	2015
140428	2015
141160	2015
141161	2015
141512	2015
141571	2015
143046	2014
143122	2015
143339	2015
143351	2015
143953	2015
144349	2015
144551	2015
145190	2015
145625	2015
145830	2015
146221	2015
147222	2015
148229	2015
148230	2015
150554	2015
151960	2015
152055	2015
155017	2015
158022	2015
159329	2015
159331	2015
160301	2015
161662	2016
162773	2016
162774	2016
163904	 201
165361	2015
165406	2016
165407	2016
167016	2016
167694	2016
167695	2016
167935	2016
168599	2016
168641	2016
170365	2016
172449	2016
172450	2016
175979	2016
178150	2016
179442	2016
179792	2016
182055	2016
183386	2016
184023	2016
184433	2016
184739	2016
184740	2016
185479	2016
185871	2016
185974	2016
188024	2016
189773	2016
190663	2016
190680	2016
192029	2016
192033	2016
192846	2014
194116	2016
194196	2016
194202	2016
195316	2016
195365	2016
196320	2016
197428	2016
198600	2016
198702	2016
199272	2016
199273	2016
199274	 201
199411	2016
204123	2016
205268	2017
205525	2016
206253	2016
207230	2017
207351	2017
207567	2017
208323	2017
208458	2017
208896	2017
209364	2017
210268	2017
210282	2017
210283	2017
210346	2017
211009	2020
212292	2017
212836	2017
212955	2017
213221	2017
213261	2017
213316	2016
213794	2017
214140	2017
214146	2017
214222	2017
214268	2017
214269	2017
214290	2017
214755	2017
215063	2017
215140	2017
215473	2017
215518	2017
215529	2017
215530	2017
215726	2017
216239	2017
216298	2017
216414	2017
218434	2017
219217	2017
219448	2017
219484	2017
219707	2017
220192	2017
221142	2017
222226	2017
222552	2017
223165	2017
223502	2017
223547	2017
223790	2017
224083	2017
224206	2017
224251	2017
225771	2017
226989	2017
227476	2017
228025	2017
228825	2017
228915	2017
229056	2018
229731	2017
230517	2018
231192	2017
233867	2017
234060	2018
234071	2018
234082	2018
234086	2018
234376	2018
234892	2018
235096	2018
235097	2018
235422	2013
235429	2012
235816	2018
237052	2018
237107	2018
237108	2018
237120	2018
237340	2018
237602	2018
238880	2018
238881	2018
239280	2017
240330	2018
242924	2018
244982	2018
245489	2018
245689	2018
247343	2018
248206	2018
249227	2018
249620	2019
249630	2019
249674	2018
249681	2018
251919	2018
252461	2018
252623	2018
253989	2018
256230	2018
256233	2018
256234	2018
256306	2018
256500	2018
256922	2015
256923	2018
257271	2018
257915	2018
258081	2018
259105	2018
259149	2018
260839	2018
260861	2018
261788	2018
262264	2019
262369	2018
264357	2019
264433	2018
265519	2018
265520	2018
265532	2019
265543	2018
265551	2018
267179	2018
268161	2018
268653	2019
268681	2019
268790	2019
269063	2018
269533	2019
269876	2019
270224	2019
270488	2018
270587	2018
271198	2018
272392	2019
272774	2019
272789	2019
272935	2019
273394	2019
274172	2019
275083	2019
275610	2019
276165	2019
276175	2019
276584	2019
276760	2019
277148	2019
277427	2019
280037	2019
280038	2019
281218	2019
281463	2018
282565	2019
283272	2019
283302	2019
283333	2019
283549	2019
284371	2019
285132	2019
285804	2019
286263	2019
288025	2019
288940	2019
289860	2019
290938	2019
290996	2019
291841	2019
292784	2020
293859	2020
294669	2020
295001	2020
295263	2019
295331	2019
295870	2020
296124	2020
297194	2019
297195	2019
297591	2020
298462	2020
298707	2020
299434	2020
299435	2020
299705	2020
300865	2020
301744	2020
301947	2020
302933	2020
304216	2020
305111	2020
305190	2020
305193	2020
305195	2020
305740	2020
305741	2020
306614	2020
306659	2020
306660	2020
306668	2020
306993	2020
307032	2020
307356	2020
307978	2020
308028	2020
310139	2020
311528	2020
311532	2020
312982	2020
313599	2020
313826	2020
313827	2020
313828	2020
313829	2020
314312	2020
314480	2020
316042	2020
316106	2020
317956	2020
317963	2020
317964	2020
317965	2020
317969	2020
317970	2020
319126	2021
319127	2020
319894	2021
320496	2020
321560	2020
323682	2021
323684	2021
323744	2021
323745	2021
323747	2021
324240	2020
324632	2020
326875	2021
327986	2021
328012	2021
329029	2021
329344	2021
329585	2021
331561	2021
331897	2021
